순번,분류,레스토랑 이름,영업시간,연락처,구글맵 링크,평점,리뷰,간단한 소개,대표 메뉴 (3가지)
1,관광객이라면 가성비와 갬성을 한번에!,짜까탕롱 (Chả Cá Thăng Long),오전 10:30~오후 9:00,-,https://maps.app.goo.gl/HwShqpYcAyTzC9WE7,4.6,"5,277","하노이의 명물 요리인 가물치 구이 '짜까(Chả Cá)' 전문점입니다. 테이블 위에서 딜, 파와 함께 노릇하게 볶은 생선 살을 땅콩, 쌀국수 면, 특제 소스와 곁들여 먹는 독특한 경험을 할 수 있습니다. (처음 가는 사람은 찾기 어려우니 사진을 꼭 확인하세요! 6B P. Đường Thành, Cửa Đông, Hoàn Kiếm, Hà Nội 000084)","1. 짜까 (Chả Cá - 가물치 구이)
2. 생선 위장 볶음 (Lòng Cá)
3. 해산물 스프링 롤"
2,관광객이라면 가성비와 갬성을 한번에!,꽌안응온 (Quán Ăn Ngon),오전 6:30~오후 10:00,+84 903 246 963,https://maps.google.com/?cid=5162517836559873849,4.2,"4,471",베트남 전역의 다양한 길거리 음식과 전통 요리를 한곳에서 맛볼 수 있는 곳입니다. 넓은 야외 정원과 전통 가옥 스타일의 인테리어가 어우러져 활기차면서도 이국적인 분위기를 느낄 수 있어 관광객들에게 인기가 많습니다.,"1. 반세오 (Bánh Xèo)
2. 분짜 (Bún Chả)
3. 넴 란 (Nem Rán)"
3,관광객이라면 가성비와 갬성을 한번에!,잠바 가든 (Zamba Garden),오전 11:00~오전 12:00,+84 901 676 969,https://maps.app.goo.gl/sPsQkNUVHfsKr17J9,4.2,773,도심 속에서 활기찬 야외 정원 분위기를 즐길 수 있는 바베큐 전문점입니다. 시그니처 메뉴인 큼직한 폭립을 비롯한 다양한 구이 요리에 시원한 맥주를 곁들이기 제격입니다.,"1. 자이언트 바베큐 폭립
2. 소고기 스테이크
3. 그릴드 소시지 플래터"
4,관광객이라면 가성비와 갬성을 한번에!,멧 (MẸT Vietnamese restaurant),오전 10:00~오후 10:30,+84 985 627 976,https://maps.app.goo.gl/LwvdvYbzpWr6BdCZ8,4.9,"29,075","하노이 올드쿼터에 위치한 베트남 전통 및 채식 요리 전문점입니다. 대나무 바구니에 정갈하게 담겨 나오는 '멧(Mẹt)' 세트가 시그니처이며, 다양한 베트남 음식을 합리적인 가격에 즐길 수 있어 여행객들에게 인기가 높습니다.","1. 멧 스페셜 세트
2. 반세오 (Bánh Xèo)
3. 스프링롤 세트"
5,관광객이라면 가성비와 갬성을 한번에!,분차 타 하노이 (Bun Cha Ta Hanoi),오전 8:00~오후 10:00,+84 966848389,https://maps.app.goo.gl/3UQTLkYXtiCQSzDJA,4.4,"5,049","하노이 올드쿼터의 깔끔한 분짜 전문점으로, 외국인들에게도 인기가 많고 가성비가 훌륭합니다.","1. 분짜
2. 넴
3. 하노이 맥주"
6,관광객이라면 가성비와 갬성을 한번에!,피자 4P's 장띠엔 (Pizza 4P's Trang Tien),오전 11:00~오후 10:00,+84 1900 6043,https://maps.app.goo.gl/dBa66MSujhtgKUZE9,4.9,"23,420","베트남 최고의 피자 맛집으로, 화덕에서 구운 피자와 수제 치즈의 풍미가 예술입니다.","1. 부라타 치즈 피자
2. 크랩 파스타
3. 콰트로 포르마지 피자"
7,관광객이라면 가성비와 갬성을 한번에!,뉴 데이 레스토랑 (New Day Restaurant),오전 10:30~오후 10:00,+84 24 3828 0315,https://maps.app.goo.gl/535Yhdpbyfg6tHR99,4.3,"2,679",합리적인 가격에 정통 베트남 가정식을 다양하게 즐길 수 있어 여행자들 사이에서 유명합니다.,"1. 스프링롤
2. 소고기 볶음밥
3. 갈릭 모닝글로리"
8,베트남만의 고급 로컬 다이닝,짜오반 (Chào Bạn),오전 11:30~오후 10:30,+84 24 3552 8028,https://maps.app.goo.gl/tq53AdfPzZCYW8bB8,4.8,"1,188",서호(Tây Hồ) 지역의 조용하고 운치 있는 빌라에 자리 잡은 베트남 전통 요리 전문점입니다. 미쉐린 가이드 빕 구르망에 선정될 만큼 훌륭한 맛과 우아한 분위기를 자랑합니다.,"1. 코코넛 해산물 커리
2. 베트남식 소고기 스튜 (Bò Sốt Vang)
3. 레몬그라스 돼지고기 구이"
9,베트남만의 고급 로컬 다이닝,떰비 (Tầm Vị),오전 11:00~오후 9:30,+84 966 323 131,https://maps.google.com/?cid=4305134930746919990,4.0,"3,570",오래된 베트남 목조 주택의 고풍스러운 인테리어가 돋보이는 미쉐린 1스타 레스토랑입니다. 북부 지방 특유의 섬세한 전통 가정식을 매우 정성스럽고 고급스럽게 차려냅니다.,"1. 까코또 (민물고기 뚝배기 조림)
2. 팃루옥 (돼지고기 수육과 특제 소스)
3. 제철 채소 마늘 볶음"
10,베트남만의 고급 로컬 다이닝,룩락 베트남 레스토랑 (Luk Lak),오전 7:30~오후 10:00,+84 943 143 686,https://maps.google.com/?cid=4474371496991400046,4.3,"1,679",5성급 호텔 총주방장 출신의 셰프가 운영하는 세련된 로컬 다이닝입니다. 베트남 각 지역의 시그니처 요리와 소스들을 현대적인 레시피로 재해석하여 제공합니다.,"1. 사파(Sapa)식 흑돼지 구이
2. 시그니처 허브 소스 닭고기 구이
3. 모던 스타일 짜까(가물치 구이)"
11,베트남만의 고급 로컬 다이닝,챕터 다이닝 (Chapter Dining),오후 6:00~오후 11:00,+84 333 201 221,https://maps.google.com/?cid=9465291556293376904,4.7,305,"장작불과 숯을 주방의 핵심 테마로 삼아, 베트남 각지의 식재료를 창의적인 파인다이닝 코스로 풀어내는 레스토랑입니다. 미쉐린 가이드에도 선정되었으며 훌륭한 미식 경험을 제공합니다.","1. 시즈널 테이스팅 코스
2. 장작구이 오리 가슴살
3. 숯불 해산물 스페셜"
12,베트남만의 고급 로컬 다이닝,카우고 베트남 퀴진 (Cau Go Vietnamese Cuisine),오전 10:00~오후 11:00,+84 838332688,https://maps.app.goo.gl/HZCAj9k6xU8Jv8t37,4.4,"2,589",호안끼엠 호수 전망과 함께 정갈하고 고급스러운 베트남 전통 요리를 즐길 수 있는 곳입니다.,"1. 연잎 밥
2. 해산물 볶음
3. 베트남식 생선 구이"
13,베트남만의 고급 로컬 다이닝,홈 하노이 레스토랑 (Home Hanoi Restaurant),오전 11:00~오후 10:00,+84 889038822,https://maps.app.goo.gl/PgVXP4ir4qh9a1tg9,4.6,"2,914",고풍스러운 분위기의 프랑스식 빌라에서 고품격 하노이 정통 요리를 선사합니다.,"1. 꿀 소스 돼지고기 구이
2. 홈 스타일 스프링롤
3. 하노이식 쌀국수"
14,베트남만의 고급 로컬 다이닝,Essence Restaurant Original (since 2011) (Essence Restaurant),오전 11:30~오후 10:00,+84 2439352485,https://maps.app.goo.gl/JW939ZYZvCKoYosq9,4.8,"3,131",미쉐린 가이드에도 소개된 곳으로 뛰어난 서비스와 세련된 베트남 요리로 유명합니다.,"1. 분보남보 에센스 스타일
2. 허브 소스 생선 구이
3. 코코넛 푸딩"
15,한국인이 사랑하는 핫플레이스,오바마 분짜 (Bún Chả Hương Liên),오전 8:00~오후 8:00,+84 24 3943 4106,https://maps.google.com/?cid=9108413969528951015,4.1,"12,045","오바마 전 미국 대통령이 방문하여 이른바 '오바마 분짜'로 세계적인 유명세를 탄 식당입니다. 숯불향이 가득 배어 있는 고기와 새콤달콤한 국물, 신선한 허브의 조화가 훌륭합니다.","1. 오바마 콤보 (분짜+씨푸드 롤+하노이 맥주)
2. 해산물 롤 (Nem Hải Sản)
3. 게살 롤 (Nem Cua Bể)"
16,한국인이 사랑하는 핫플레이스,분짜닥킴 (Bún Chả Đắc Kim),오전 9:00~오후 9:00,+84 24 3828 7060,https://maps.app.goo.gl/WGQmbVAegp1XSGXs8,3.9,"7,983","1966년에 설립된 하노이 올드쿼터의 유서 깊은 분짜 전문점입니다. 진한 숯불 향의 돼지고기와 바삭한 대형 넴(Nem)이 특징이며, 현지인과 관광객 모두에게 꾸준히 사랑받는 곳입니다.","1. 분짜 (Bún Chả)
2. 넴 란 (Nem Rán - 게살 튀김 만두)"
17,한국인이 사랑하는 핫플레이스,퍼틴리궉수 (Pho 10 Ly Quoc Su),오전 6:00~오후 10:00,+84 24 3825 7338,https://maps.app.goo.gl/7ht6qtwrAn8ojmH59,4.1,"11,572","하노이에서 가장 유명한 소고기 쌀국수 맛집 중 하나로, 미쉐린 빕 구르망에 선정되었습니다. 맑으면서도 깊은 감칠맛을 내는 육수가 일품이며, 기호에 따라 튀김 빵인 '꿔이'를 국물에 적셔 먹는 것이 별미입니다.","1. 퍼 찐 (Phở Chín - 완숙 소고기 쌀국수)
2. 퍼 따이 (Phở Tái - 레어 소고기 쌀국수)
3. 퍼 따이 란 (볶은 소고기 쌀국수)"
18,한국인이 사랑하는 핫플레이스,분보남보백프응 (Bún Bò Nam Bộ),오전 7:30~오후 10:30,+84 911 529 166,https://maps.app.goo.gl/XyT37pJiM3b7T6yD9,4.5,"7,655","하노이 스타일의 비빔 쌀국수인 '분보남보'를 전문으로 하는 곳입니다. 볶은 소고기, 숙주, 땅콩, 튀긴 양파 등이 소스와 어우러져 고소하고 새콤달콤한 맛을 선사하며, 가벼우면서도 든든한 한 끼 식사로 제격입니다.","1. 분보남보 (Bún Bò Nam Bộ)
2. 넴 쭈아 잔 (Nem Chua Rán - 튀긴 돼지고기)
3. 바잉 바오 (Bánh Bao)"
19,한국인이 사랑하는 핫플레이스,퍼지아쭈옌 밧단 (Pho Gia Truyen Bat Dan),오전 6:00~오후 8:30,-,https://maps.app.goo.gl/XerfupJb4Wapz9gHA,4.3,"5,534","1960년대부터 이어진 하노이 쌀국수의 대명사로, 긴 대기 줄이 맛을 증명합니다. 진한 소고기 육수와 즉석에서 썰어 올리는 부드러운 고기가 전통적인 하노이 쌀국수의 정수를 보여줍니다.","1. 퍼 따 (진한 소고기 쌀국수)
2. 꿔이 (담백한 밀가루 튀김 빵)
3. 고기 추가 (신선한 우둔살/차돌)"
20,한국인이 사랑하는 핫플레이스,반미 25 (Banh Mi 25),오전 7:00~오후 9:00,+84 97 766 84 13,https://maps.app.goo.gl/KpHKUwBrJsS7XTeU6,4.4,"16,647","하노이 구시가지에서 가장 사랑받는 반미 전문점으로, 매일 구워내는 바삭한 바게트가 특징입니다. 신선한 채소와 정성스럽게 양념한 고기를 푸짐하게 넣어 한 끼 식사로도 손색이 없습니다.","1. 믹스 반미 (모든 재료 포함)
2. 치킨 반미
3. 돼지고기 구이 반미"
21,한국인이 사랑하는 핫플레이스,닭바베큐 (Quán Gà Nướng Việt Hà),"수요일,오후 4:00~11:30",+84 912906134,https://maps.app.goo.gl/kG6SrgCC2NB2FAyC9,3.9,663,"현지인들이 퇴근길에 즐겨 찾는 야외 숯불 닭구이 노포로, 화려하지 않지만 정겨운 분위기가 가득합니다. 숯불 위에서 노릇하게 구워진 닭고기는 특제 소스와 어우러져 맥주를 부르는 최고의 안주입니다.","1. 숯불 닭 날개 구이
2. 숯불 닭 다리 구이
3. 숯불 닭발 구이"
22,호텔 근처 럭셔리 맛집,VIET Restaurant Hanoi & Rooftop Bar,"수요일,오후 2:30~10:00",+84 2438238855,https://maps.app.goo.gl/2V7Dp2E989TGHNZG8,4.9,"2,946",구시가지의 루프탑에서 하노이의 활기찬 야경을 내려다보며 식사를 즐길 수 있는 세련된 공간입니다. 베트남의 맛을 고급스럽게 살려낸 요리들은 외국인 방문객들에게도 높은 만족도를 선사합니다.,"1. 분짜 (숯불 돼지고기 쌀국수)
2. 모둠 스프링롤 세트
3. 갈릭 모닝글로리 볶음"
23,호텔 근처 럭셔리 맛집,Essence Restaurant Original (since 2011),"수요일,오전 6:30~10:00,오전 11:30~오후 10:00",+84 2439352485,https://maps.app.goo.gl/qQMiVevUvYfjK8zt7,4.8,"3,131","2011년부터 고품격 베트남 요리를 선보여 온 레스토랑으로, 정교한 플레이팅과 깊은 맛이 일품입니다. 전통적인 조리법을 현대적인 감각으로 재해석하여 누구나 부담 없이 베트남 미식에 다가갈 수 있습니다.","1. 연꽃 샐러드
2. 항아리 소고기 구이
3. 베트남식 생선 조림"
